split,split_position,dataset_index,label,label_name,path
train,52,15735,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_760.tif
train,53,8809,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_827.tif
train,54,26727,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_753.tif
train,55,5036,1,Forest,data/EuroSAT_MS/Forest/Forest_2831.tif
train,56,25757,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_2580.tif
train,57,4706,1,Forest,data/EuroSAT_MS/Forest/Forest_2534.tif
train,58,25322,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_2189.tif
train,59,19935,7,Residential,data/EuroSAT_MS/Residential/Residential_2290.tif
train,60,6963,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1866.tif
train,61,14705,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1633.tif
train,62,20821,7,Residential,data/EuroSAT_MS/Residential/Residential_388.tif
train,63,5079,1,Forest,data/EuroSAT_MS/Forest/Forest_2870.tif
train,64,13034,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_238.tif
train,65,20540,7,Residential,data/EuroSAT_MS/Residential/Residential_2835.tif
train,66,7364,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2226.tif
train,67,10720,3,Highway,data/EuroSAT_MS/Highway/Highway_297.tif
train,68,5890,1,Forest,data/EuroSAT_MS/Forest/Forest_90.tif
train,69,3267,1,Forest,data/EuroSAT_MS/Forest/Forest_1239.tif
train,70,3620,1,Forest,data/EuroSAT_MS/Forest/Forest_1557.tif
train,71,6289,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1259.tif
train,72,26711,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_739.tif
train,73,19024,7,Residential,data/EuroSAT_MS/Residential/Residential_1470.tif
train,74,2639,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_674.tif
train,75,18303,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_821.tif
train,76,4176,1,Forest,data/EuroSAT_MS/Forest/Forest_2057.tif
train,77,26862,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_875.tif
train,78,10578,3,Highway,data/EuroSAT_MS/Highway/Highway_2419.tif
train,79,6948,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1852.tif
train,80,9338,3,Highway,data/EuroSAT_MS/Highway/Highway_1302.tif
train,81,16532,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1478.tif
train,82,6338,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1302.tif
train,83,5211,1,Forest,data/EuroSAT_MS/Forest/Forest_299.tif
train,84,5259,1,Forest,data/EuroSAT_MS/Forest/Forest_331.tif
train,85,25200,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_2079.tif
train,86,20523,7,Residential,data/EuroSAT_MS/Residential/Residential_282.tif
train,87,6181,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1161.tif
train,88,2834,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_85.tif
train,89,22668,8,River,data/EuroSAT_MS/River/River_205.tif
train,90,3973,1,Forest,data/EuroSAT_MS/Forest/Forest_1875.tif
train,91,16064,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1056.tif
train,92,3038,1,Forest,data/EuroSAT_MS/Forest/Forest_1032.tif
train,93,5501,1,Forest,data/EuroSAT_MS/Forest/Forest_55.tif
train,94,17394,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2253.tif
train,95,1034,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_193.tif
train,96,5506,1,Forest,data/EuroSAT_MS/Forest/Forest_554.tif
train,97,19662,7,Residential,data/EuroSAT_MS/Residential/Residential_2044.tif
train,98,6126,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1111.tif
train,99,21325,7,Residential,data/EuroSAT_MS/Residential/Residential_841.tif
train,100,13348,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_411.tif
train,101,24033,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1028.tif
train,102,1277,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2148.tif
train,103,20274,7,Residential,data/EuroSAT_MS/Residential/Residential_2596.tif
train,104,23174,8,River,data/EuroSAT_MS/River/River_255.tif
train,105,14522,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1469.tif
train,106,24279,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_125.tif
train,107,12833,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_2199.tif
train,108,4606,1,Forest,data/EuroSAT_MS/Forest/Forest_2444.tif
train,109,12990,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_234.tif
train,110,6892,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1801.tif
train,111,19342,7,Residential,data/EuroSAT_MS/Residential/Residential_1757.tif
train,112,11945,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_14.tif
train,113,3280,1,Forest,data/EuroSAT_MS/Forest/Forest_1250.tif
train,114,6088,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1078.tif
train,115,24976,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1878.tif
train,116,5495,1,Forest,data/EuroSAT_MS/Forest/Forest_544.tif
train,117,19987,7,Residential,data/EuroSAT_MS/Residential/Residential_2337.tif
train,118,7281,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2151.tif
train,119,12189,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1619.tif
train,120,5080,1,Forest,data/EuroSAT_MS/Forest/Forest_2871.tif
train,121,14110,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1098.tif
train,122,5759,1,Forest,data/EuroSAT_MS/Forest/Forest_782.tif
train,123,6166,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1148.tif
train,124,875,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1787.tif
train,125,23625,8,River,data/EuroSAT_MS/River/River_661.tif
train,126,14831,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1747.tif
train,127,20244,7,Residential,data/EuroSAT_MS/Residential/Residential_2569.tif
train,128,5600,1,Forest,data/EuroSAT_MS/Forest/Forest_639.tif
train,129,15753,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_777.tif
train,130,19578,7,Residential,data/EuroSAT_MS/Residential/Residential_197.tif
train,131,9671,3,Highway,data/EuroSAT_MS/Highway/Highway_1602.tif
train,132,3780,1,Forest,data/EuroSAT_MS/Forest/Forest_1700.tif
train,133,15919,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_926.tif
train,134,4214,1,Forest,data/EuroSAT_MS/Forest/Forest_2091.tif
train,135,14422,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1379.tif
train,136,16114,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1100.tif
train,137,17587,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2427.tif
train,138,5360,1,Forest,data/EuroSAT_MS/Forest/Forest_422.tif
train,139,7725,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2551.tif
train,140,22901,8,River,data/EuroSAT_MS/River/River_226.tif
train,141,16282,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1252.tif
train,142,803,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1721.tif
train,143,3933,1,Forest,data/EuroSAT_MS/Forest/Forest_1839.tif
train,144,10455,3,Highway,data/EuroSAT_MS/Highway/Highway_2308.tif
train,145,22862,8,River,data/EuroSAT_MS/River/River_2224.tif
train,146,14932,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1838.tif
train,147,23286,8,River,data/EuroSAT_MS/River/River_356.tif
train,148,13684,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_714.tif
train,149,21855,8,River,data/EuroSAT_MS/River/River_1318.tif
train,150,19152,7,Residential,data/EuroSAT_MS/Residential/Residential_1586.tif
train,151,7149,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2032.tif
train,152,8718,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_745.tif
train,153,25936,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_2741.tif
train,154,26892,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_901.tif
train,155,16826,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1742.tif
train,156,22906,8,River,data/EuroSAT_MS/River/River_2264.tif
train,157,17743,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_317.tif
train,158,18615,7,Residential,data/EuroSAT_MS/Residential/Residential_1101.tif
train,159,7247,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2120.tif
train,160,4785,1,Forest,data/EuroSAT_MS/Forest/Forest_2605.tif
train,161,22812,8,River,data/EuroSAT_MS/River/River_218.tif
train,162,14321,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1288.tif
train,163,18038,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_583.tif
train,164,2836,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_851.tif
train,165,3850,1,Forest,data/EuroSAT_MS/Forest/Forest_1764.tif
train,166,1143,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2027.tif
train,167,26750,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_774.tif
train,168,7927,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2733.tif
train,169,108,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1096.tif
train,170,10043,3,Highway,data/EuroSAT_MS/Highway/Highway_1938.tif
train,171,3082,1,Forest,data/EuroSAT_MS/Forest/Forest_1072.tif
train,172,140,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1124.tif
train,173,22760,8,River,data/EuroSAT_MS/River/River_2132.tif
train,174,9442,3,Highway,data/EuroSAT_MS/Highway/Highway_1397.tif
train,175,12447,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1851.tif
train,176,9548,3,Highway,data/EuroSAT_MS/Highway/Highway_1492.tif
train,177,1062,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1955.tif
train,178,16331,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1297.tif
train,179,9621,3,Highway,data/EuroSAT_MS/Highway/Highway_1558.tif
train,180,24539,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1484.tif
train,181,16770,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1692.tif
train,182,12520,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1917.tif
train,183,2107,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2896.tif
train,184,11921,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1378.tif
train,185,9521,3,Highway,data/EuroSAT_MS/Highway/Highway_1468.tif
train,186,25608,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_2446.tif
train,187,19847,7,Residential,data/EuroSAT_MS/Residential/Residential_2210.tif
train,188,17819,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_386.tif
train,189,5066,1,Forest,data/EuroSAT_MS/Forest/Forest_2859.tif
train,190,23235,8,River,data/EuroSAT_MS/River/River_31.tif
train,191,8284,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_354.tif
train,192,3011,1,Forest,data/EuroSAT_MS/Forest/Forest_1008.tif
train,193,2068,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2860.tif
train,194,3567,1,Forest,data/EuroSAT_MS/Forest/Forest_1509.tif
train,195,18773,7,Residential,data/EuroSAT_MS/Residential/Residential_1244.tif
train,196,536,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1481.tif
train,197,18415,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_922.tif
train,198,11919,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1376.tif
train,199,22947,8,River,data/EuroSAT_MS/River/River_2300.tif
train,200,13295,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_364.tif
train,201,7409,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2267.tif
train,202,18073,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_614.tif
train,203,12642,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_2026.tif
train,204,4427,1,Forest,data/EuroSAT_MS/Forest/Forest_2283.tif
train,205,7628,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2464.tif
train,206,23219,8,River,data/EuroSAT_MS/River/River_296.tif
train,207,21183,7,Residential,data/EuroSAT_MS/Residential/Residential_713.tif
train,208,7851,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2665.tif
train,209,21984,8,River,data/EuroSAT_MS/River/River_1434.tif
train,210,25850,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_2664.tif
train,211,24790,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_171.tif
train,212,9271,3,Highway,data/EuroSAT_MS/Highway/Highway_1242.tif
train,213,23439,8,River,data/EuroSAT_MS/River/River_494.tif
train,214,5640,1,Forest,data/EuroSAT_MS/Forest/Forest_675.tif
train,215,13712,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_74.tif
train,216,812,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_173.tif
train,217,19928,7,Residential,data/EuroSAT_MS/Residential/Residential_2284.tif
train,218,19112,7,Residential,data/EuroSAT_MS/Residential/Residential_155.tif
train,219,5280,1,Forest,data/EuroSAT_MS/Forest/Forest_350.tif
train,220,8706,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_734.tif
train,221,20926,7,Residential,data/EuroSAT_MS/Residential/Residential_482.tif
train,222,21246,7,Residential,data/EuroSAT_MS/Residential/Residential_770.tif
train,223,5037,1,Forest,data/EuroSAT_MS/Forest/Forest_2832.tif
train,224,13408,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_466.tif
train,225,11496,3,Highway,data/EuroSAT_MS/Highway/Highway_996.tif
train,226,18006,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_554.tif
train,227,19121,7,Residential,data/EuroSAT_MS/Residential/Residential_1558.tif
train,228,12339,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1754.tif
train,229,12304,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1722.tif
train,230,10994,3,Highway,data/EuroSAT_MS/Highway/Highway_543.tif
train,231,9329,3,Highway,data/EuroSAT_MS/Highway/Highway_1295.tif
train,232,3181,1,Forest,data/EuroSAT_MS/Forest/Forest_1161.tif
train,233,4266,1,Forest,data/EuroSAT_MS/Forest/Forest_2138.tif
train,234,15389,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_449.tif
train,235,23560,8,River,data/EuroSAT_MS/River/River_602.tif
train,236,7314,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2181.tif
train,237,11473,3,Highway,data/EuroSAT_MS/Highway/Highway_975.tif
train,238,24697,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1626.tif
train,239,13176,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_257.tif
train,240,14069,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1060.tif
train,241,25051,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1945.tif
train,242,9431,3,Highway,data/EuroSAT_MS/Highway/Highway_1387.tif
train,243,15109,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1998.tif
train,244,19177,7,Residential,data/EuroSAT_MS/Residential/Residential_1608.tif
train,245,8385,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_445.tif
train,246,6750,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1674.tif
train,247,6546,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1490.tif
train,248,6968,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1870.tif
train,249,2288,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_358.tif
train,250,10674,3,Highway,data/EuroSAT_MS/Highway/Highway_255.tif
train,251,11776,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1247.tif
train,252,21773,8,River,data/EuroSAT_MS/River/River_1244.tif
train,253,15816,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_833.tif
train,254,13498,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_547.tif
train,255,17542,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2387.tif
train,256,19637,7,Residential,data/EuroSAT_MS/Residential/Residential_2021.tif
train,257,10533,3,Highway,data/EuroSAT_MS/Highway/Highway_2379.tif
train,258,2055,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2849.tif
train,259,24153,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1136.tif
train,260,15035,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1930.tif
train,261,17518,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2365.tif
train,262,24592,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1531.tif
train,263,25510,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_2358.tif
train,264,2267,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_339.tif
train,265,1243,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2117.tif
train,266,21007,7,Residential,data/EuroSAT_MS/Residential/Residential_555.tif
train,267,74,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1065.tif
train,268,25840,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_2655.tif
train,269,1201,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_208.tif
train,270,26963,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_966.tif
train,271,7764,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2587.tif
train,272,1977,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2779.tif
train,273,26522,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_569.tif
train,274,24429,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1385.tif
train,275,3496,1,Forest,data/EuroSAT_MS/Forest/Forest_1445.tif
train,276,22549,8,River,data/EuroSAT_MS/River/River_1943.tif
train,277,23077,8,River,data/EuroSAT_MS/River/River_2418.tif
train,278,8716,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_743.tif
train,279,111,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1099.tif
train,280,266,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1238.tif
train,281,6641,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1576.tif
train,282,9880,3,Highway,data/EuroSAT_MS/Highway/Highway_1791.tif
train,283,5386,1,Forest,data/EuroSAT_MS/Forest/Forest_446.tif
train,284,19148,7,Residential,data/EuroSAT_MS/Residential/Residential_1582.tif
train,285,16491,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1440.tif
train,286,14972,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1874.tif
train,287,15584,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_624.tif
train,288,2822,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_839.tif
train,289,18184,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_714.tif
train,290,3899,1,Forest,data/EuroSAT_MS/Forest/Forest_1808.tif
train,291,7724,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2550.tif
train,292,254,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1227.tif
train,293,17925,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_481.tif
train,294,4206,1,Forest,data/EuroSAT_MS/Forest/Forest_2084.tif
train,295,3865,1,Forest,data/EuroSAT_MS/Forest/Forest_1778.tif
train,296,12419,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1826.tif
train,297,22845,8,River,data/EuroSAT_MS/River/River_2209.tif
train,298,10119,3,Highway,data/EuroSAT_MS/Highway/Highway_2005.tif
train,299,20428,7,Residential,data/EuroSAT_MS/Residential/Residential_2734.tif
train,300,5030,1,Forest,data/EuroSAT_MS/Forest/Forest_2826.tif
train,301,17264,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2136.tif
train,302,4503,1,Forest,data/EuroSAT_MS/Forest/Forest_2351.tif
train,303,20346,7,Residential,data/EuroSAT_MS/Residential/Residential_2660.tif
train,304,20752,7,Residential,data/EuroSAT_MS/Residential/Residential_325.tif
train,305,8640,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_675.tif
train,306,24031,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1026.tif
train,307,7560,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2402.tif
train,308,9685,3,Highway,data/EuroSAT_MS/Highway/Highway_1615.tif
train,309,11708,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1186.tif
train,310,4132,1,Forest,data/EuroSAT_MS/Forest/Forest_2017.tif
train,311,3326,1,Forest,data/EuroSAT_MS/Forest/Forest_1292.tif
train,312,4877,1,Forest,data/EuroSAT_MS/Forest/Forest_2689.tif
train,313,26490,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_54.tif
train,314,15996,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_996.tif
train,315,9145,3,Highway,data/EuroSAT_MS/Highway/Highway_1129.tif
