query_index,num_active_labels,num_relevant_gallery,AP_percent,first_hit_rank,hit@1,hit@5,hit@10,patch_name,label_names
23,2,4194,44.659098982810974,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_14_39,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
24,2,5089,54.71957325935364,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_14_74,Arable land|Complex cultivation patterns
25,2,5581,70.90834975242615,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_14,Broad-leaved forest|Natural grassland and sparsely vegetated areas
26,3,6971,76.1510968208313,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_18,Natural grassland and sparsely vegetated areas|Pastures|Transitional woodland/shrub
27,2,5089,58.87328386306763,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_39,Arable land|Complex cultivation patterns
28,3,6606,70.62798142433167,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_41,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
29,4,8735,91.84839129447937,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_45,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
30,2,2600,25.173792243003845,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_55,Complex cultivation patterns|Urban fabric
31,2,5277,54.86261248588562,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_76,Arable land|Mixed forest
32,3,6827,69.37749981880188,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_16_18,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub|Urban fabric"
33,3,8146,84.73828434944153,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_16_38,Arable land|Complex cultivation patterns|Transitional woodland/shrub
34,4,9003,92.47244000434875,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_16_50,Arable land|Broad-leaved forest|Complex cultivation patterns|Transitional woodland/shrub
35,3,8506,84.12064909934998,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_16_58,Arable land|Broad-leaved forest|Mixed forest
36,1,3907,60.31445860862732,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_16_59,Arable land
37,1,3907,39.23763632774353,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_16_63,Arable land
38,2,6493,73.13327193260193,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_17_19,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
39,2,4194,42.93577969074249,3,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_17_22,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
40,1,2888,27.48950719833374,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_17_24,"Land principally occupied by agriculture, with significant areas of natural vegetation"
41,4,9003,90.928715467453,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_17_55,Arable land|Broad-leaved forest|Complex cultivation patterns|Transitional woodland/shrub
42,1,3907,56.111907958984375,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_17_58,Arable land
43,3,8146,86.01754307746887,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_17_65,Arable land|Complex cultivation patterns|Transitional woodland/shrub
44,3,7659,70.35794854164124,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_17_76,Broad-leaved forest|Mixed forest|Transitional woodland/shrub
45,2,6493,76.05881690979004,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_18_17,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
46,3,7286,79.48387861251831,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_18_26,Complex cultivation patterns|Mixed forest|Transitional woodland/shrub
47,5,9067,89.94617462158203,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_18_34,Arable land|Broad-leaved forest|Complex cultivation patterns|Transitional woodland/shrub|Urban fabric
48,2,7680,77.97479033470154,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_18_54,Arable land|Broad-leaved forest
49,2,5089,57.17816352844238,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_19_43,Arable land|Complex cultivation patterns
50,1,2268,23.762649297714233,5,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_20_41,Complex cultivation patterns
51,2,5089,60.24410128593445,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_20_42,Arable land|Complex cultivation patterns
52,3,6606,74.26871061325073,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_20_45,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
53,3,6274,68.22368502616882,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_20_51,Arable land|Complex cultivation patterns|Mixed forest
54,4,9003,91.38450026512146,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_20_61,Arable land|Broad-leaved forest|Complex cultivation patterns|Transitional woodland/shrub
55,2,4357,41.54720604419708,15,False,False,False,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_21_22,"Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
56,2,6493,72.37609028816223,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_21_25,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
57,2,3335,43.278855085372925,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_22_47,"Land principally occupied by agriculture, with significant areas of natural vegetation|Urban fabric"
58,4,8152,81.61234259605408,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_22_66,"Broad-leaved forest|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
59,4,9003,93.91071200370789,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_22_67,Arable land|Broad-leaved forest|Complex cultivation patterns|Transitional woodland/shrub
60,1,3907,39.569297432899475,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_22_74,Arable land
61,1,5176,62.69589066505432,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_23_17,Transitional woodland/shrub
62,3,6727,77.49050855636597,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_23_19,Complex cultivation patterns|Transitional woodland/shrub|Urban fabric
63,3,8075,85.0902795791626,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_23_76,Arable land|Broad-leaved forest|Complex cultivation patterns
64,1,5176,49.61288869380951,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_24_16,Transitional woodland/shrub
65,2,6487,70.2824354171753,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_24_20,Complex cultivation patterns|Transitional woodland/shrub
66,3,8506,84.0613305568695,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_24_73,Arable land|Broad-leaved forest|Mixed forest
67,2,6118,69.3291962146759,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_25_17,Mixed forest|Transitional woodland/shrub
68,2,5105,60.9582245349884,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_25_74,Arable land|Pastures
69,2,4357,42.39919185638428,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_26_14,"Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
70,1,5176,66.60669445991516,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_26_18,Transitional woodland/shrub
71,1,3907,47.85534739494324,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_26_74,Arable land
72,2,6493,75.7463276386261,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_27_22,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
73,5,8371,90.34843444824219,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_27_69,"Broad-leaved forest|Complex cultivation patterns|Coniferous forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
74,2,6118,72.06028699874878,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_27_73,Mixed forest|Transitional woodland/shrub
75,3,6274,59.548622369766235,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_28_71,Arable land|Complex cultivation patterns|Mixed forest
76,3,8075,83.84464979171753,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_28_75,Arable land|Broad-leaved forest|Complex cultivation patterns
77,2,6493,74.65776205062866,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_29_13,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
78,3,6827,74.2085874080658,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_29_14,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub|Urban fabric"
79,1,725,7.235753536224365,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_29_16,Urban fabric
80,3,4420,47.46344983577728,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_29_20,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Urban fabric"
81,2,6028,55.15211820602417,3,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_29_22,"Arable land|Land principally occupied by agriculture, with significant areas of natural vegetation"
82,5,9507,98.30529689788818,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_29_70,Arable land|Broad-leaved forest|Complex cultivation patterns|Pastures|Transitional woodland/shrub
83,2,7044,82.24620223045349,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_30_70,Broad-leaved forest|Transitional woodland/shrub
84,2,7680,80.8517336845398,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_30_74,Arable land|Broad-leaved forest
85,1,5176,62.38815784454346,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_31_15,Transitional woodland/shrub
86,2,4194,41.1002516746521,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_31_21,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
87,1,2888,27.19658613204956,8,False,False,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_32_14,"Land principally occupied by agriculture, with significant areas of natural vegetation"
88,3,4420,46.084582805633545,4,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_32_19,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Urban fabric"
89,2,4194,42.591312527656555,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_32_22,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
90,2,3335,30.998429656028748,9,False,False,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_33_21,"Land principally occupied by agriculture, with significant areas of natural vegetation|Urban fabric"
91,5,9172,93.52529048919678,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_33_71,"Arable land|Broad-leaved forest|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
92,4,9239,94.37404274940491,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_34_69,Arable land|Broad-leaved forest|Mixed forest|Transitional woodland/shrub
93,5,7614,73.09504747390747,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_35_71,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest|Urban fabric"
94,4,7891,82.03807473182678,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_36_14,"Complex cultivation patterns|Coniferous forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
95,3,4420,44.57227289676666,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_36_18,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Urban fabric"
96,2,5089,59.30320620536804,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_36_73,Arable land|Complex cultivation patterns
97,2,5277,51.303309202194214,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_37_76,Arable land|Mixed forest
98,3,6274,63.71992230415344,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_37_77,Arable land|Complex cultivation patterns|Mixed forest
99,2,4357,43.60271692276001,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_38_13,"Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
100,1,1907,19.850841164588928,3,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_38_14,Mixed forest
101,2,5277,50.18901824951172,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_38_69,Arable land|Mixed forest
102,4,5699,56.6542387008667,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_40_16,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest|Urban fabric"
103,5,9172,90.69163203239441,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_40_18,"Arable land|Broad-leaved forest|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
104,1,3907,50.07598400115967,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_40_70,Arable land
105,5,9721,97.56719470024109,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_40_76,Arable land|Broad-leaved forest|Mixed forest|Pastures|Transitional woodland/shrub
106,5,9463,96.0657000541687,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_40_77,Arable land|Broad-leaved forest|Coniferous forest|Mixed forest|Transitional woodland/shrub
107,4,8971,89.4465982913971,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_41_19,"Arable land|Broad-leaved forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
108,4,9228,91.87890291213989,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_41_77,Arable land|Broad-leaved forest|Mixed forest|Pastures
109,2,6505,79.00272011756897,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_42_17,Broad-leaved forest|Complex cultivation patterns
110,4,9352,93.9559817314148,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_42_72,Arable land|Broad-leaved forest|Coniferous forest|Transitional woodland/shrub
111,3,8506,87.01344728469849,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_42_76,Arable land|Broad-leaved forest|Mixed forest
112,4,8175,85.95343828201294,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_43_15,Arable land|Broad-leaved forest|Complex cultivation patterns|Urban fabric
113,3,7707,83.76479148864746,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_43_71,Broad-leaved forest|Complex cultivation patterns|Coniferous forest
114,3,6181,62.61366009712219,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_44_14,"Arable land|Land principally occupied by agriculture, with significant areas of natural vegetation|Urban fabric"
115,4,8570,89.7237777709961,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_44_19,"Arable land|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub|Urban fabric"
116,4,9239,94.65684294700623,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_45_13,Arable land|Broad-leaved forest|Mixed forest|Transitional woodland/shrub
117,4,7903,82.14535117149353,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_45_21,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest|Transitional woodland/shrub"
118,2,7044,77.49698162078857,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_45_73,Broad-leaved forest|Transitional woodland/shrub
119,4,9239,94.09034252166748,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_45_76,Arable land|Broad-leaved forest|Mixed forest|Transitional woodland/shrub
120,3,7659,86.85798048973083,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_45_77,Broad-leaved forest|Mixed forest|Transitional woodland/shrub
121,3,7746,86.55030131340027,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_47_14,Broad-leaved forest|Complex cultivation patterns|Transitional woodland/shrub
122,4,7949,89.30033445358276,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_47_74,Broad-leaved forest|Coniferous forest|Mixed forest|Transitional woodland/shrub
123,5,7816,87.46204376220703,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_48_73,"Broad-leaved forest|Coniferous forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest|Natural grassland and sparsely vegetated areas"
124,3,7659,88.54972124099731,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_49_15,Broad-leaved forest|Mixed forest|Transitional woodland/shrub
125,2,6493,75.87603330612183,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_49_20,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
126,2,6589,76.97161436080933,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_49_74,Broad-leaved forest|Mixed forest
127,3,8789,92.65639781951904,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_49_76,Arable land|Broad-leaved forest|Transitional woodland/shrub
128,3,7641,88.1807804107666,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_50_20,"Broad-leaved forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
129,3,7641,86.11637949943542,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_50_21,"Broad-leaved forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
130,4,7903,83.19162726402283,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_51_14,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest|Transitional woodland/shrub"
131,2,7044,78.1329870223999,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_51_20,Broad-leaved forest|Transitional woodland/shrub
132,2,6589,79.59656715393066,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_51_72,Broad-leaved forest|Mixed forest
133,4,8177,93.10654401779175,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_52_13,"Broad-leaved forest|Coniferous forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
134,4,7771,86.67420148849487,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_52_14,"Broad-leaved forest|Coniferous forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
135,3,7494,85.01303195953369,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_53_14,"Broad-leaved forest|Coniferous forest|Land principally occupied by agriculture, with significant areas of natural vegetation"
136,3,7737,88.9533281326294,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_53_15,Broad-leaved forest|Coniferous forest|Transitional woodland/shrub
137,3,7058,68.20520162582397,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_53_69,"Arable land|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
138,4,8971,91.6058599948883,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_54_69,"Arable land|Broad-leaved forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
139,3,7130,81.56687617301941,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_55_14,"Coniferous forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
140,4,8944,89.01314735412598,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_55_71,Arable land|Broad-leaved forest|Coniferous forest|Mixed forest
141,3,8299,86.05340719223022,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_55_76,Broad-leaved forest|Mixed forest|Pastures
142,2,7044,78.87776494026184,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_56_13,Broad-leaved forest|Transitional woodland/shrub
143,3,7641,91.19560122489929,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_56_14,"Broad-leaved forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
144,1,5176,61.573708057403564,3,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_56_17,Transitional woodland/shrub
145,1,5508,69.60381269454956,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_56_73,Broad-leaved forest
146,3,8299,85.47077775001526,2,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_56_74,Broad-leaved forest|Mixed forest|Pastures
147,3,8299,86.0812246799469,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_56_75,Broad-leaved forest|Mixed forest|Pastures
148,2,6493,77.82757878303528,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_57_15,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
149,3,7746,87.66183853149414,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_57_21,Broad-leaved forest|Complex cultivation patterns|Transitional woodland/shrub
150,2,7044,85.67447066307068,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_58_18,Broad-leaved forest|Transitional woodland/shrub
151,3,8789,88.91221880912781,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_58_72,Arable land|Broad-leaved forest|Transitional woodland/shrub
152,1,5508,63.39063048362732,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_58_76,Broad-leaved forest
153,5,9336,93.28809976577759,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_59_74,Arable land|Broad-leaved forest|Mixed forest|Transitional woodland/shrub|Urban fabric
154,3,7659,87.79147863388062,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_59_75,Broad-leaved forest|Mixed forest|Transitional woodland/shrub
155,3,7659,79.97460961341858,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_60_77,Broad-leaved forest|Mixed forest|Transitional woodland/shrub
156,3,4956,49.788668751716614,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_61_19,"Coniferous forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Mixed forest"
157,1,5508,67.57569313049316,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_61_77,Broad-leaved forest
